,Title,Link,Name,Cat,Aut link,Plan,Budget,Date
1162,"Kalevi Kammerkoor &  Seto Sümfoonia ""Peko"" CD",https://www.hooandja.ee/projekt/kalevi-kammerkoor-seto-sC3BCmfoonia-peko-cd,Kelly Muusika,Muusika,https://www.hooandja.ee/users/kellykert,112,1120,2013
1163,"Tantsuetendus ""tõlgitud""",https://www.hooandja.ee/projekt/tantsuetendus-tC3B5lgitud,eike ülevain Teater,Teater,https://www.hooandja.ee/users/eike-C3BClevain,133,665,2013
1161,KiMa Pohjala graafika toodete näidissarja tootmine,https://www.hooandja.ee/projekt/kima-pohjala-graafika-toodete-naidissarja-tootmine,KiMa Illustrations Disain,Disain,https://www.hooandja.ee/users/markoise,106,633,2013
1159,Lühifilm Eksistents,https://www.hooandja.ee/projekt/lC3BChifilm-eksistents,Robert Parelo Film & Foto,Film & Foto,https://www.hooandja.ee/users/robert-parelo,101,1008,2013
1160,"UMA ja Iris Oja album ""Peidus pool""",https://www.hooandja.ee/projekt/uma-ja-iris-oja-album-peidus-pool,UMA ja Iris Oja Muusika,Muusika,https://www.hooandja.ee/users/info12,107,859,2013
1158,Kommunikatsiooni käsiraamat,https://www.hooandja.ee/projekt/kommunikatsiooni-kasiraamat,Memokraat Trükis,Trükis,https://www.hooandja.ee/users/memokraat,125,6262,2013
1157,MaiGroupi debüütplaat,https://www.hooandja.ee/projekt/maigroupi-debC3BCC3BCtplaat,ML Muusika,Muusika,https://www.hooandja.ee/users/mai-jC3B5gi,108,1406,2013
1156,Aita krattidel ellu ärgata,https://www.hooandja.ee/projekt/aita-krattidel-ellu-C3A4rgata,kat Film & Foto,Film & Foto,https://www.hooandja.ee/users/kissa-katrin,102,10165,2013
1155,Jah ilma naisteta on kurb maailm,https://www.hooandja.ee/projekt/jah-ilma-naisteta-kurb-maailm,Andres Alamaa Muusika,Muusika,https://www.hooandja.ee/users/andresalamaa,243,2425,2013
1154,Noored Tähed 2013,https://www.hooandja.ee/projekt/noored-tahed-2013,NÕEL Sündmus,Sündmus,https://www.hooandja.ee/users/info13,113,340,2013
1153,"Svjata Vatra uus plaat ""Svitlyi schljah""",https://www.hooandja.ee/projekt/svjata-vatra-uus-plaat-svitlyi-schljah,Svjata Vatra Muusika,Muusika,https://www.hooandja.ee/users/svjatavatra,108,2161,2013
1152,"Marten Kuninga ""Janu"" vinüülile!",https://www.hooandja.ee/projekt/marten-kuninga-janu-vinuulile,Marten Kuningas Muusika,Muusika,https://www.hooandja.ee/users/martenkuningas,126,2259,2013
1151,Üleriigiline heategevuslik koolibändide konkurss BÄM2013,https://www.hooandja.ee/projekt/uleriigiline-heategevuslik-koolibandide-konkurss-bam2013,Merli Mändul Muusika,Muusika,https://www.hooandja.ee/users/merlimandul,100,1200,2013
