,Title,Link,Name,Cat,Aut link,Plan,Budget,Date
180,Eestloor,https://www.hooandja.ee/projekt/eestloor,riina.eigi Trükis,Trükis,https://www.hooandja.ee/users/riinaeigi,104,675,5
181,"Teatrikompanii Morff debüütlavastuse ""Mäng"" väljatoomine",https://www.hooandja.ee/projekt/morff-debuutlavastus-mang,Teatrikompanii Morff Teater,Teater,https://www.hooandja.ee/users/sebastiantalmar,105,836,5
182,President,https://www.hooandja.ee/projekt/president,Elisabeth Hunt Teater,Teater,https://www.hooandja.ee/users/huntelisabeth1,117,1167,5
183,"Tuuli ja Teet Vellingu CD ""Armastus eesti moodi"" väljaandmine",https://www.hooandja.ee/projekt/tuuli-ja-teet-vellingu-cd-armastus-eesti-moodi-valjaandmine,Tuuli Velling Muusika,Muusika,https://www.hooandja.ee/users/tuuli1,125,3115,5
184,Loome koos Eesti parima ajakirja!,https://www.hooandja.ee/projekt/loome-koos-eesti-parima-ajakirja,Edasi.org Meedia,Meedia,https://www.hooandja.ee/users/janeckuibo2,100,5001,5
185,Saa osa viikingite ajaloost,https://www.hooandja.ee/projekt/saaremaa-viikingitel-palgid-puhta-puudu,Asva Linnus MTÜ Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/kuisiisjuba,110,5512,5
186,The Chuck Band Show,https://www.hooandja.ee/projekt/chuck-band-show,Aet Laigu Film & Foto,Film & Foto,https://www.hooandja.ee/users/aetlaigu,101,10080,5
187,"Raamat ""Ansel""",https://www.hooandja.ee/projekt/raamat-ansel,Kaupo Kikkas Trükis,Trükis,https://www.hooandja.ee/users/kaupo,103,6159,5
188,Kadri Voorandi uue albumi väljaandmine,https://www.hooandja.ee/projekt/kadri-voorandi-uue-albumi-valjaandmine,Kadri Voorand Muusika,Muusika,https://www.hooandja.ee/users/kadrivoorand,114,3422,5
342,Kelmiküla lastelaulud,https://www.hooandja.ee/projekt/kelmikula-lastelaulud,Tallinna Kelmiküla Lasteaed Trükis,Trükis,https://www.hooandja.ee/users/direktor2,102,4367,5
343,Välijõusaal Virtsu Kooli staadionile!,https://www.hooandja.ee/projekt/valijousaal-virtsu-kooli-staadionile,Stanislav Nemeržitski Haridus,Haridus,https://www.hooandja.ee/users/stanislavnemerzhitski,106,2330,5
344,Tallinna Graafikatriennaali noortenäitus “Sfäärid”,https://www.hooandja.ee/projekt/tallinna-graafikatriennaali-noortenaitus-sfaarid,Mark Antonius Puhkan Sündmus,Sündmus,https://www.hooandja.ee/users/markantoniuspuhkan,105,526,5
345,Kuiinluse ehk kuulsuse ahelad,https://www.hooandja.ee/projekt/kuiinluse-ehk-kuulsuse-ahelad,SirjeVasmann-Perend Sündmus,Sündmus,https://www.hooandja.ee/users/surrra,108,4325,5
347,Pelgulinna kevadpäevad,https://www.hooandja.ee/projekt/pelgulinna-kevadpaevad-0,piret.maiberg Sündmus,Sündmus,https://www.hooandja.ee/users/piretmaiberg,101,1745,5
348,Hoovi Häng 2018,https://www.hooandja.ee/projekt/hoovi-hang-2018,MTÜ Must Mägi  Sündmus,Sündmus,https://www.hooandja.ee/users/hoovihang,123,614,5
349,Tantsusessioon Future,https://www.hooandja.ee/projekt/tantsusessioon-future,Anne Tamm-Kivimets Sündmus,Sündmus,https://www.hooandja.ee/users/annekoduke,108,699,5
351,LBRNT100,https://www.hooandja.ee/projekt/lbrnt100,Rait Sohkin Sündmus,Sündmus,https://www.hooandja.ee/users/raitsohkin,107,2280,5
352,Tartu Tähtvere Dendropargi discgolfiraja uute viskealade  väljaehitamine,https://www.hooandja.ee/projekt/tartu-tahtvere-dendropargi-discgolfirada,Ergo Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/erx62,111,2496,5
353,Rauno Pella ja Babelsbergi Filmiorkestri koostöö projekt,https://www.hooandja.ee/projekt/rauno-pella-ja-babelsbergi-filmiorkestri-koostoo-projekt,Rauno Pella Muusika,Muusika,https://www.hooandja.ee/users/raunopella,104,5724,5
354,Poeetiline punane raamat: Anname hääletutele hääled!,https://www.hooandja.ee/projekt/poeetiline-punane-raamat,Anatoli & Friends Trükis,Trükis,https://www.hooandja.ee/users/anatolifriends,118,9468,5
355,Võta kannel põlve peale,https://www.hooandja.ee/projekt/vota-kannel-polve-peale,Evi Vaher EV100,EV100,https://www.hooandja.ee/users/evivaher,105,525,5
356,Oma pesa,https://www.hooandja.ee/projekt/oma-pesa,Tantsukool Cestants Sport,Sport,https://www.hooandja.ee/users/kristelsaar,100,4018,5
358,Queeni tribüütkontsert „We Will Rock You“,https://www.hooandja.ee/projekt/queeni-tribuutkontsert-we-will-rock-you,Margo Maltis Sündmus,Sündmus,https://www.hooandja.ee/users/1777372665625780,100,802,5
359,KASSISABA KEVADPÄEV 2018,https://www.hooandja.ee/projekt/kassisaba-kevadpaev-2018,Emma Johanna Lepasoo Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/emmalepasoo,106,2041,5
535,Eestlased kosmosesse – ESTCube-2,https://www.hooandja.ee/projekt/estcube-2,ESTCube Tehnoloogia,Tehnoloogia,https://www.hooandja.ee/users/silviakristiinkask,129,38743,5
536,Moekollektsioon Scar Tissue,https://www.hooandja.ee/projekt/moekollektsioon-scar-tissue,Merlis Orion Kunst,Kunst,https://www.hooandja.ee/users/merlisorion,119,860,5
537,Kuressaare Tänavafestival,https://www.hooandja.ee/projekt/kuressaare-tanavafestival,MTÜ Kuresaar Sündmus,Sündmus,https://www.hooandja.ee/users/maekallaskati,189,1320,5
538,Sõmeru Robootikameeskond Triblox Euroopa meistrivõistlustele,https://www.hooandja.ee/projekt/someru-robootikameeskond-triblox-euroopa-meistrivoistlustele,Rasmus Kits Tehnoloogia,Tehnoloogia,https://www.hooandja.ee/users/rasmus1,100,2000,5
539,Maido Saare 60. juubeli tähistamine kontsert-rännakuga „Aarete Saar“,https://www.hooandja.ee/projekt/maido-saare-60-juubeli-tahistamine-tantsulise-kontsert-rannakuga-aarete-saar,Tantsuansambel Lee Sündmus,Sündmus,https://www.hooandja.ee/users/leetantsuselts,135,3791,5
540,"Fotoraamat ""Afterlife""",https://www.hooandja.ee/projekt/fotoraamat-afterlife,Heikki Leis Trükis,Trükis,https://www.hooandja.ee/users/heikkileis,108,4556,5
541,Viljandi Waldorfkooli Eurütmiastuudio Witten-Annenisse,https://www.hooandja.ee/projekt/viljandi-waldorfkooli-eurutmiastuudio-witten-annenisse,Anu Kivi Kunst,Kunst,https://www.hooandja.ee/users/anu28,107,1070,5
542,Aita konnad üle tee!,https://www.hooandja.ee/projekt/aita-konnad-ule-tee,Eestimaa Looduse Fond Keskkond,Keskkond,https://www.hooandja.ee/users/kertu2-0,107,4812,5
543,Vaba Lava „RokiSõlm“,https://www.hooandja.ee/projekt/vaba-lava-rokisolm,Turba Kooli Õpilasesindus Sündmus,Sündmus,https://www.hooandja.ee/users/turbakoolioe,111,667,5
544,MEXTONIA – ühendades kultuure läbi värvi,https://www.hooandja.ee/projekt/mextonia-uhendades-kultuure-labi-varvi,Sigre Tompel EV100,EV100,https://www.hooandja.ee/users/sigre,100,2500,5
545,"Maria Gertsjak debüütalbumi “Hetk, kus olin” väljaandmine",https://www.hooandja.ee/projekt/maria-gertsjak-debuutalbumi-hetk-kus-olin-valjaandmine,Maria Gertsjak Muusika,Muusika,https://www.hooandja.ee/users/miaria15,122,2431,5
546,Kultuuridessant 2017,https://www.hooandja.ee/projekt/kultuuridessant-2017,Kätlin Kriisa Sündmus,Sündmus,https://www.hooandja.ee/users/ktlnkriisa,104,1244,5
547,Tantsulavastus „Üheteistkümnendas elemendis“,https://www.hooandja.ee/projekt/tantsulavastus-uheteistkumnendas-elemendis,SA Eesti Tantsuagentuur Kunst,Kunst,https://www.hooandja.ee/users/helena1,112,1340,5
548,Teleseriaal “Litsid”,https://www.hooandja.ee/projekt/teleseriaal-litsid,FilMinistry Film & Foto,Film & Foto,https://www.hooandja.ee/users/mart3,117,5847,5
549,Binaural vision,https://www.hooandja.ee/projekt/binaural-vision,Rauno Zubko Teater,Teater,https://www.hooandja.ee/users/rauno1,107,2147,5
550,Videod “Kalevipojast”,https://www.hooandja.ee/projekt/videod-kalevipojast,Ajalugu Oskariga Film & Foto,Film & Foto,https://www.hooandja.ee/users/ajaluguoskariga,101,503,5
551,Lüganuse küla jaaniõhtu,https://www.hooandja.ee/projekt/luganuse-kula-jaaniohtu,Lüganuse Küla Selts Sündmus,Sündmus,https://www.hooandja.ee/users/lyganusekyla,105,1255,5
552,Muudame Hagudi põnnide elu turvaliseks ja õnnelikuks!,https://www.hooandja.ee/projekt/muudame-hagudi-ponnide-elu-turvaliseks-ja-onnelikuks,Age Rebel Lastekaitse,Lastekaitse,https://www.hooandja.ee/users/agerebel,102,2035,5
553,Pind päkka!,https://www.hooandja.ee/projekt/pind-pakka,Laine Mägi Haridus,Haridus,https://www.hooandja.ee/users/lainemagitantsukool,125,5178,5
699,"""Haruldaste olendite taskuraamat"" väljaandmine",https://www.hooandja.ee/projekt/haruldaste-olendite-taskuraamat-valjaandmine,Hedi Armulik Trükis,Trükis,https://www.hooandja.ee/users/hediarmulik,116,580,5
700,Illustreeritud muinas-fantaasiaraamat “13 RÄNDURIT”,https://www.hooandja.ee/projekt/13-randurit,Heategevusühing Hea Tegu MTÜ Trükis,Trükis,https://www.hooandja.ee/users/teehead,111,1548,5
701,"Aita uus Eesti komöödia ""Ameerika Suvi"" kinodesse!",https://www.hooandja.ee/projekt/aita-uus-eesti-komoodia-ameerika-suvi-kinodesse,Ameerika Suvi Film & Foto,Film & Foto,https://www.hooandja.ee/users/noortefilm2015,101,10115,5
702,LasnaVILJAmägi,https://www.hooandja.ee/projekt/lasnaviljamagi,Andrea Tamm Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/andreatam,107,1611,5
703,Paneme Tartu helisema!,https://www.hooandja.ee/projekt/paneme-tartu-helisema,Helen Kalberg Muusika,Muusika,https://www.hooandja.ee/users/helenkalberg,102,5075,5
704,"Lasteraamat ""Seitse väikest elevanti""",https://www.hooandja.ee/projekt/lasteraamat-seitse-vaikest-elevanti,KiriSild Trükis,Trükis,https://www.hooandja.ee/users/kirisild,101,3426,5
705,Andres Jäätma autorialbum,https://www.hooandja.ee/projekt/andres-jaatma-autorialbum,Andres Jäätma Muusika,Muusika,https://www.hooandja.ee/users/andresjaatma,104,1279,5
706,"Teleprojekt ""1 Koorilaul""",https://www.hooandja.ee/projekt/1-koorilaul,Kristiina Randoja Muusika,Muusika,https://www.hooandja.ee/users/kristiinarandoja,103,9845,5
707,Janne Ristimetsa Tantsustuudio teine tantsusaal,https://www.hooandja.ee/projekt/janne-ristimetsa-tantsustuudio-teine-tantsusaal,Janne Ristimetsa Tantsustuudio Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/janneristimets1,104,5843,5
708,Mina pean tantsida saama! (... aga rahvariideid ei ole),https://www.hooandja.ee/projekt/mina-pean-tantsida-saama-aga-rahvariideid-ei-ole,Siret Mängel Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/siretmangel,102,1910,5
709,Pelgulinna kevadpäevad,https://www.hooandja.ee/projekt/pelgulinna-kevadpaevad,piret.maiberg Sündmus,Sündmus,https://www.hooandja.ee/users/piretmaiberg,110,1599,5
710,"""Lõõtsavägilaste"" uus plaat ""Edimese numre miis""",https://www.hooandja.ee/projekt/lootsavagilaste-uus-plaat-edimese-numre-miis,Margus Põldsepp Muusika,Muusika,https://www.hooandja.ee/users/margus6,108,2388,5
711,Kalamaja Päevad 2016,https://www.hooandja.ee/projekt/kalamaja-paevad-2016,Kalamaja Päevad 2016 Sündmus,Sündmus,https://www.hooandja.ee/users/zumanni,101,3955,5
712,"Koomiksiajakiri ""Tartu Surmaneedus""",https://www.hooandja.ee/projekt/koomiksiajakiri-tartu-surmaneedus,Jüri Suurväli Trükis,Trükis,https://www.hooandja.ee/users/illustromix,111,557,5
713,Joel Remmel Trio kolmas album “Some Things Never Change”,https://www.hooandja.ee/projekt/joel-remmel-trio-kolmas-album-some-things-never-change,joelremmel Muusika,Muusika,https://www.hooandja.ee/users/joelremmel,110,1317,5
714,"Tartu ülikooli kammerkoori 45. aastapäeva lavastus ""Südamepeitjate planeet""",https://www.hooandja.ee/projekt/tartu-ulikooli-kammerkoori-45-aastapaeva-lavastus-sudamepeitjate-planeet,Tartu ülikooli kammerkoor Muusika,Muusika,https://www.hooandja.ee/users/tukammerkoor,115,3395,5
715,Bombillaze kolmas kauamängiv CD,https://www.hooandja.ee/projekt/bombillaze-kolmas-kauamangiv-cd,Kill Kaare Muusika,Muusika,https://www.hooandja.ee/users/killkaare,102,4060,5
716,Viljandi Jakobsoni balletistuudio rahvusvahelisele tantsukonkursile Ungaris,https://www.hooandja.ee/projekt/viljandi-jakobsoni-balletistuudio-rahvusvahelisele-tantsukonkursile-ungaris,Marju Lepmets Kultuurisaadikud,Kultuurisaadikud,https://www.hooandja.ee/users/marjulepmets,115,1721,5
717,Akustilise muusika festival ACOUSSION LIVE 2016,https://www.hooandja.ee/projekt/akustilise-muusika-festival-acoussion-live-2016,ACOUSSION LIVE Sündmus,Sündmus,https://www.hooandja.ee/users/tarmo17,118,3525,5
718,Nurmenuku lasteaia kiik,https://www.hooandja.ee/projekt/nurmenuku-lasteaia-kiik,Margus Malv Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/margusmalv,101,1260,5
719,Rakvere Põhikooli lapsed: „Me ei taha pulgabändi!!!“,https://www.hooandja.ee/projekt/lapsed-me-ei-taha-pulgabandi,Aire Aros EV100,EV100,https://www.hooandja.ee/users/aros,109,2225,5
720,Kartmatu meremehe Ahto Valteri ümberilmareis suurele ekraanile,https://www.hooandja.ee/projekt/kartmatu-meremehe-ahto-valteri-umberilmareis-suurele-ekraanile,Erik Norkroos Film & Foto,Film & Foto,https://www.hooandja.ee/users/film,102,15976,5
721,Liivimaa Noorteorkester XII Euroopa Noorte Muusikafestivalile Hispaanias,https://www.hooandja.ee/projekt/liivimaa-noorteorkester-xii-euroopa-noorte-muusikafestivalile-hispaanias,Merike Soomets Muusika,Muusika,https://www.hooandja.ee/users/merikesoomets3,122,978,5
722,Siiri Sisaski CD “Kuristi kohal”,https://www.hooandja.ee/projekt/siiri-sisaski-cd-kuristi-kohal,Siiri Sisask Muusika,Muusika,https://www.hooandja.ee/users/siiri5,104,7785,5
723,"Mälestuste raamatu ""Suurvete aegu"" trükkimine",https://www.hooandja.ee/projekt/malestuste-raamatu-suurvete-aegu-trukkimine,Mairold Vaik Trükis,Trükis,https://www.hooandja.ee/users/mairold-vaik,101,1111,5
724,Hoogu väikestele akordionimängijatele Pärnu-Jaagupist!,https://www.hooandja.ee/projekt/hoogu-vaikestele-akordionimangijatele-parnu-jaagupist,Katrin Uutsalu EV100,EV100,https://www.hooandja.ee/users/katrinuutsalu,109,1426,5
889,"Tants, mu Hingetoit",https://www.hooandja.ee/projekt/tants-mu-hingetoit,Ciara Tantsukool Teater,Teater,https://www.hooandja.ee/users/info60,100,500,5
890,Peep Sarapiku loomingu jäädvustamine,https://www.hooandja.ee/projekt/peep-sarapiku-loomingu-jaadvustamine,mroomere Muusika,Muusika,https://www.hooandja.ee/users/mroomere,142,1423,5
891,Mänguliste kunstide festival Maikellukese päevad,https://www.hooandja.ee/projekt/manguliste-kunstide-festival-maikellukese-paevad,Katrin Essenson Sündmus,Sündmus,https://www.hooandja.ee/users/nosnesse,101,2025,5
892,Rahvusvaheline näitus “Uus Põhjamaade moeillustratsioon II”,https://www.hooandja.ee/projekt/rahvusvaheline-naitus-uus-pohjamaade-moeillustratsioon-ii,Helen Saluveer Kunst,Kunst,https://www.hooandja.ee/users/helen,104,5737,5
893,Lennutame Laste Rahvatantsurühma Tantsutrollid Kanadasse!,https://www.hooandja.ee/projekt/lennutame-aasmae-laste-rahvatantsuruhma-tantsutrollid-kanadasse,Piret Kunts Kultuurisaadikud,Kultuurisaadikud,https://www.hooandja.ee/users/piretkunts,102,1532,5
894,Verbariumi debüütalbum “Vana tarkus”,https://www.hooandja.ee/projekt/verbariumi-debuutalbum-vana-tarkus,mingorajandi Muusika,Muusika,https://www.hooandja.ee/users/mingorajandi,109,2725,5
895,Kihnu kivilaeva mudeli ehitamine,https://www.hooandja.ee/projekt/kihnu-kivilaeva-mudeli-ehitamine,Reet Laos Tehnoloogia,Tehnoloogia,https://www.hooandja.ee/users/laosreet,109,8140,5
896,Asta Salumaa Siberi-mälestused,https://www.hooandja.ee/projekt/asta-salumaa-siberi-malestused,Hõbe Ilus Trükis,Trükis,https://www.hooandja.ee/users/ilushobe,115,1729,5
897,Lexsoul Dancemachine’i debüütalbum!,https://www.hooandja.ee/projekt/lexsoul-dancemachinei-debuutalbum,Lexsoul Dancemachine Muusika,Muusika,https://www.hooandja.ee/users/353,123,3067,5
898,Rosma Johannese waldorfkooli katuse vahetus,https://www.hooandja.ee/projekt/rosma-johannese-waldorfkooli-katuse-vahetus,jaanus_10 Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/jaanus10,125,6860,5
899,Pavel Semjonovi joonistuste isikunäitus St. Peterburis,https://www.hooandja.ee/projekt/pavel-semjonovi-joonistuste-isikunaitus-st-peterburis,Pavel Semjonov Kultuurisaadikud,Kultuurisaadikud,https://www.hooandja.ee/users/pashasemjonov,200,3005,5
900,Ansambli Chacha Roots debüütalbumi „Võta siis pealegi päike“ väljaandmine,https://www.hooandja.ee/projekt/ansambli-chacha-roots-debuutalbumi-vota-siis-pealgi-paike-valjaandmine,erkimeister67 Muusika,Muusika,https://www.hooandja.ee/users/erkimeister67,100,2005,5
901,Suvine lustikava Juunituur 2015,https://www.hooandja.ee/projekt/suvine-lustikava-juunituur-2015,MTÜ Must Kast Teater,Teater,https://www.hooandja.ee/users/kastmust,120,2398,5
902,"""Kiripuu"" Ursula Zimmermanni esikluulekogu",https://www.hooandja.ee/projekt/kiripuu-ursula-zimmermanni-esikluulekogu,Ursula Zimmermann Trükis,Trükis,https://www.hooandja.ee/users/ursula2,111,2047,5
903,Sa oled mu Peegel/Piibel,https://www.hooandja.ee/projekt/sa-oled-mu-peegelpiibel,Maarika Siim Trükis,Trükis,https://www.hooandja.ee/users/maarikasiim,129,2189,5
904,Lõõtsavägilaste & Linnutee ühise plaadi väljaandmine,https://www.hooandja.ee/projekt/lootsavagilaste-linnutee-uhise-plaadi-valjaandmine,margus.poldsepp Muusika,Muusika,https://www.hooandja.ee/users/marguspoldsepp,137,1644,5
905,MOOD-PERFORMANCE-TANTS 2015 moeetendus “Taurus”,https://www.hooandja.ee/projekt/mood-performance-tants-2015-moeetendus-taurus,Eva Liisa Kubinyi Teater,Teater,https://www.hooandja.ee/users/evaliisaky,103,1034,5
906,Kultuuridessant 2015,https://www.hooandja.ee/projekt/kultuuridessant-2015,annaliisa.zirkel Sündmus,Sündmus,https://www.hooandja.ee/users/annaliisazirkel,114,570,5
907,Pärnu Naiskoor Leelo kontsertreis Wales`i,https://www.hooandja.ee/projekt/parnu-naiskoor-leelo-kontsertreis-walesi,Siiri Metsamägi Kultuurisaadikud,Kultuurisaadikud,https://www.hooandja.ee/users/siirimetsamagi,100,500,5
1021,E.T.A. Tantsukooli 8. lennu lõpulavastuse lavaletoomine,https://www.hooandja.ee/projekt/eta-tantsukooli-8-lennu-lopulavastuse-lavaletoomine,SA Eesti Tantsuagentuur Teater,Teater,https://www.hooandja.ee/users/helena1,102,1020,5
1022,Lõbus animatsioonfilm „Tantsitaja” DVD-le,https://www.hooandja.ee/projekt/lobus-animatsioonfilm-tantsitaja-dvd-le,Animailm Film & Foto,Film & Foto,https://www.hooandja.ee/users/animailmfilm,107,1385,5
1023,Kalamaja Päevad 2014,https://www.hooandja.ee/projekt/kalamaja-paevad,Kalamaja Päevad 2016 Sündmus,Sündmus,https://www.hooandja.ee/users/zumanni,139,4175,5
1024,Lasteballett SIPSIK,https://www.hooandja.ee/projekt/lasteballett-sipsik,Noor Ballett Fouetté Teater,Teater,https://www.hooandja.ee/users/info37,111,720,5
